type,name,lat,lon,fontSize,rotate,x_offset,y_offset
人类设备,阿波罗11号,0.67416°N,23.47314°E,12,0,0,0
人类设备,阿波罗12号,3.0128°S,23.4219°W,12,0,0,0
人类设备,阿波罗14号,3.64589°S,17.47194°W,12,0,0,0
人类设备,阿波罗15号,26.13239°N,3.63330°E,12,0,0,0
人类设备,阿波罗16号,8.9734°S,15.5011°E,12,0,0,0
人类设备,阿波罗17号,20.1911°N,30.7723°E,12,0,0,0
人类设备,嫦娥三号,44.12130°N,19.51151°W,12,0,0,0
人类设备,嫦娥五号,43.0576°N,51.9160°W,12,0,0,0
人类设备,月球9号,7.08°N,64.37°E,12,0,0,0
人类设备,月球13号,18.87°N,62.05°W,12,0,0,0
人类设备,月球16号,0.68°S,56.3°E,12,0,0,0
人类设备,月球17号,38.28°N,35.00°W,12,0,0,0
人类设备,月球20号,3.53°N,56.50°E,12,0,0,0
人类设备,月球21号,25.85°N,30.45°E,12,0,0,0
人类设备,月球23号,12.68°N,62.25°E,12,0,0,0
人类设备,月球24号,12.71°N,62.21°E,12,0,0,0
人类设备,月船3号Chandrayaan-3,69.37°S,32.35°E,12,0,0,0
人类设备,勘测者Surveyor 1号,2.474°S,43.339°W,12,0,0,0
人类设备,勘测者Surveyor 3号,3.016°S,23.355°W,12,0,0,0
人类设备,勘测者Surveyor 5号,1.41°N,23.18°E,12,0,0,0
人类设备,勘测者Surveyor 6号,0.49°N,1.40°W,12,0,0,0
人类设备,勘测者Surveyor 7号,40.98°S,11.51°W,12,0,0,0
人类设备,小型月球探测器SLIM,13.25°N,58.75°E,12,0,0,0
