type,name,lat,lon,fontSize,rotate,x_offset,y_offset
月谷,阿尔卑斯月谷,48.5°N,3.2°E,10,0,0,0
月谷,巴德月谷,45.9°S,76.2°W,10,0,0,0
月谷,玻尔月谷,12.4°N,86.6°W,10,0,0,0
月谷,布瓦尔月谷,38.3°S,83.1°W,10,0,0,0
月谷,卡佩拉月谷,7.6°S,34.9°E,10,0,0,0
月谷,因吉拉米月谷,43.8°S,72.2°W,10,0,0,0
月谷,帕雷泽西月谷,26.4°S,64.3°E,10,0,0,0
月谷,普朗克月谷,58.4°S,126.1°E,10,0,0,0
月谷,里伊塔月谷,42.5°S,51.5°E,10,0,0,0
月谷,薛定谔月谷,67°S,105°E,10,0,0,0
月谷,施勒特尔月谷,26.2°N,50.8°W,10,0,0,0
月谷,斯内利厄斯月谷,31.1°S,56°E,10,0,0,0
月海,蛇海,22.6°N,67.7°E,14,0,0,0
月海,南海,38.9°S,93°E,14,0,0,0
月海,知海,10°S,23.1°W,14,0,0,0
月海,危海,17°N,59.1°E,14,0,0,0
月海,丰富海,7.8°S,51.3°E,14,0,0,0
月海,冷海,56°N,1.4°E,14,0,0,0
月海,洪堡海,56.8°N,81.5°E,14,0,0,0
月海,湿海,24.4°S,38.6°W,14,0,0,0
月海,雨海,32.8°N,15.6°W,14,0,0,0
月海,智海,33.7°S,163.5°E,14,0,0,0
月海,岛海,7.5°N,30.9°W,14,0,0,0
月海,界海,13.3°N,147.9°E,14,0,0,0
月海,莫斯科海,27.3°N,51.5°E,14,0,0,0
月海,神酒海,15.2°S,35.5°E,14,0,0,0
月海,云海,21.3°S,16.6°W,14,0,0,0
月海,东方海,19.4°S,92.8°W,14,0,0,0
月海,澄海,28°N,17.5°E,14,0,0,0
月海,史密斯海,1.3°N,87.5°E,14,0,0,0
月海,泡沫海,1.1°S,65.1°E,14,0,0,0
月海,静海,8.5°N,31.4°E,14,0,0,0
月海,浪海,6.8°N,68.4°E,14,0,0,0
月海,汽海,13.3°N,3.6°E,14,0,0,0
月海,风暴洋,18.4°N,57.4°W,14,0,0,0
月湖,夏湖,15°S,69°W,10,0,0,0
月湖,秋湖,9.9°S,83.9°W,10,0,0,0
月湖,仁慈湖,23.2°N,43.7°E,10,0,0,0
月湖,忧伤湖,17.1°N,9°E,10,0,0,0
月湖,秀丽湖,35.4°S,44°W,10,0,0,0
月湖,幸福湖,19°N,5°E,10,0,0,0
月湖,欢乐湖,16.2°N,12.6°E,10,0,0,0
月湖,冬湖,15°N,14°E,10,0,0,0
月湖,温柔湖,14°N,12°E,10,0,0,0
月湖,奢湖,19°N,176°E,10,0,0,0
月湖,死湖,45°N,27.2°E,10,0,0,0
月湖,忘湖,21°S,168°W,10,0,0,0
月湖,怨恨湖,19°S,7°E,10,0,0,0
月湖,长存湖,8°N,62°E,10,0,0,0
月湖,孤独湖,27.8°S,104.3°E,10,0,0,0
月湖,梦湖,38°N,29.2°E,10,0,0,0
月湖,希望湖,43°N,65°E,10,0,0,0
月湖,时令湖,45.9°N,58.4°E,10,0,0,0
月湖,恐怖湖,38.8°S,27.3°W,10,0,0,0
月湖,春湖,16.5°S,86.1°W,10,0,0,0
月沼,疫沼,32°S,28.2°W,10,0,0,0
月沼,腐沼,26.5°N,0.4°E,10,0,0,0
月沼,睡沼,14.1°N,45°E,10,0,0,0
月湾,浪湾,10.9°N,8.8°W,10,0,0,0
月湾,爱湾,18.1°N,39.1°E,10,0,0,0
月湾,狂暴湾,3.8°S,27.4°E,10,0,0,0
月湾,和谐湾,10.8°N,43.2°E,10,0,0,0
月湾,信赖湾,18°N,2°E,10,0,0,0
月湾,荣誉湾,11.7°N,18.1°E,10,0,0,0
月湾,虹湾,44.1°N,31.5°W,10,0,0,0
月湾,眉月湾,31.8°N,1.4°W,10,0,0,0
月湾,中央湾,2.4°N,1.7°E,10,0,0,0
月湾,露湾,54°N,56.6°W,10,0,0,0
月湾,成功湾,0.9°N,59°E,10,0,0,0
山丘,阿格妮丝山,18.6°N,5.3°E,10,0,0,0
山丘,安培山,19°N,4°W,10,0,0,0
山丘,安德烈山,5.2°N,120.6°E,10,0,0,0
山丘,阿尔达希尔山,5°N,121°E,10,0,0,0
